Scene_Name,step,historyId,type,answer,text-自學,text-導學,speaker,correct,autoNext,audio-自學,audio-導學,UniqueId
VR_Sample,0,903,text,,歡迎光臨-自學模式,歡迎光臨-導學模式,default,,3,0,1,YZHARCAPETVJWZATQOAIPULOARJIYFJTEFBOKSEZXKTZOZ
VR_Sample,1,903,text,,在這裡我們會由學生自己探索，會有一些小提示協助你學習,在這裡我們會由老師帶領學生進行導學,default,,3,2,3,OBADQGSKXPXMRTMIPNMJXCGUHCMAZGNDPWDVATRUUGLSFR
VR_Sample,2,903,text,,向日葵介紹<image:sunflower.png>,,default,,3,4,5,BPQQYRRPWHIYLUXSSEWOUNCOXHHAWRQPYWBKZMNKLDGOFC
VR_Sample,3,903,text,,向日葵（學名：Helianthus annuus）是一種原產於北美洲的大型花卉，以其鮮明的黃色花朵和大型的花盤而聞名。它的名字來自於其花朵隨著太陽的移動而轉向的特性，就像是在追隨太陽一樣。向日葵不僅美觀，還能產生向日葵籽，這是一種營養豐富的食物，含有大量的維生素E、鎂和鋅。,,default,,3,6,7,MXMFRMCJNNLUCEZRCDJMSUUZAZZPCIAVJYTSNYJQIVYUYM
VR_Sample,4,903,question,,向日葵是原產於哪個洲？,,default,,-1,8,9,RIWDFCWXDBJKNAXVTTPUUGZMAMVCPLTFQQACOMXXNMASCU
VR_Sample,4,904,answer,A. 亞洲,不對喔,<pass>,default,FALSE,0,10,11,IUHONBEKTGBZGSGCLOBVRCPOHOUNSYTDCJYZEBWATQILOU
VR_Sample,4,905,answer,B. 北美洲,答對了!,答對了!,default,TRUE,0,12,13,DUMZLYYXWJKIITNKLKVKGWIOMORTNGACYBELRKFBUMIODV
VR_Sample,4,906,answer,C. 歐洲,不正確,<pass>,default,FALSE,0,14,15,UJKIGMSLADOBJKCZKHMDZRZMYGYKCYPIJWPZJBQAGPZEJO
VR_Sample,4,907,answer,D. 非洲,在想想吧,<pass>,default,FALSE,0,16,17,CXZJLFSXWMXTXKVGFEYFYTLBBBAIWWLLNAHOAWXIPHXSTM
VR_Sample,5,903,question,,下列圖片哪個是向日葵,,default_image,,-1,18,19,PAQIKDUZWZMZPEXFLVHCIBMMSLVPOXWOKABEYTQLOCKEPT
VR_Sample,5,904,answer,<image:sunflower.png>,答對了!它的特徵XXXXX,答對了!它的特徵XXXXX,default_image,TRUE,0,20,21,CAAPIFYARDDITMFYCEYHLXESIZRVRIUHGPMIZKVIVGQUQS
VR_Sample,5,905,answer,<image:lily.png>,這個是百合花!,<pass>,default_image,FALSE,0,22,23,XRRHZJUDAPXMUOIXRIXLKQGVFMYDAOMPAVJQXRGHARGSKL
VR_Sample,5,906,answer,<image:rose.png>,這個是玫瑰!,<pass>,default_image,FALSE,0,24,25,KNXSJAFYSEOYGUAHUXDUOXJNTYSTCHACVBYGXENIPNHLZX
